"LOCALITY_ID","SAMPLE_ID"
"L4273726","0"
"L7180618","0"
"L294783","0"
"L965307","0"
"L3793848","0"
"L4276504","0"
"L4968880","0"
"L4105333","0"
"L4696304","0"
"L241822","0"
"L633067","0"
"L1040343","0"
"L5744513","0"
"L897280","0"
"L2431393","0"
"L4971832","0"
"L246858","0"
"L2275990","0"
"L4151906","0"
"L5852208","0"
"L4879829","0"
"L2096627","0"
"L2956581","0"
"L4557401","0"
"L580213","0"
"L224076","0"
"L2723697","0"
"L4298011","0"
"L3406702","0"
"L340020","0"
"L2602969","0"
"L1444127","0"
"L7058645","0"
"L1416114","0"
"L190217","0"
"L5105604","0"
"L6680417","0"
"L819322","0"
"L190219","0"
"L4050967","0"
"L633028","0"
"L871530","0"
"L830862","0"
"L5948458","0"
"L817656","0"
"L815678","0"
"L3612866","0"
"L3286941","0"
"L6218625","0"
"L357429","0"
"L1398711","0"
"L5948455","0"
"L6447226","0"
"L374225","0"
"L1353197","0"
"L373235","0"
"L1878820","0"
"L880379","0"
"L1744163","0"
"L835792","0"
"L5102249","0"
"L277270","0"
"L865058","0"
"L2427441","0"
"L299206","0"
"L1740846","0"
"L265072","0"
"L11285617","0"
"L5491240","0"
"L247950","0"
"L827371","0"
"L8751597","0"
"L368174","0"
"L283374","0"
"L826166","0"
"L831774","0"
"L5102258","0"
"L8626038","0"
"L2574444","0"
"L387263","0"
"L3822178","0"
"L5737686","0"
"L387543","0"
"L3630286","0"
"L4923931","0"
"L190223","0"
"L817534","0"
"L4935482","0"
"L900303","0"
"L480168","0"
"L10026105","0"
"L3882583","0"
"L6448572","0"
"L4833264","0"
"L5648062","0"
"L1842657","0"
"L6686511","0"
"L5551489","0"
"L826459","0"
"L5044100","0"
"L367115","0"
"L2445821","0"
"L5077524","0"
"L2087859","0"
"L1899580","0"
"L378730","0"
